;SERIAL;Feedback;TIME;ZEIT;GOAL;gmc_GOALt1
865;AE814737;1;LP_T6;TE03_01;5;
866;XN198271;1;LP_T6;TE03_01;3;
867;DM159531;0;LP_T6;TE03_01;6;
868;BF819292;1;LP_T6;TE03_01;5;
869;DT637117;0;LP_T6;TE03_01;6;
870;ME862665;0;LP_T6;TE03_01;4;
871;BC191415;0;LP_T6;TE03_01;6;
872;RT652696;0;LP_T6;TE03_01;2;
873;PQ466859;0;LP_T6;TE03_01;6;
874;UL113513;0;LP_T6;TE03_01;5;
875;WC754144;1;LP_T6;TE03_01;6;
876;SR175276;1;LP_T6;TE03_01;5;
877;VX588246;1;LP_T6;TE03_01;6;
878;XV615413;1;LP_T6;TE03_01;6;
879;YW953985;1;LP_T6;TE03_01;6;
880;PN821564;0;LP_T6;TE03_01;5;
881;QR394599;1;LP_T6;TE03_01;3;
882;SN429438;0;LP_T6;TE03_01;3;
883;LH578194;1;LP_T6;TE03_01;5;
884;DZ883544;1;LP_T6;TE03_01;5;
885;XG496891;0;LP_T6;TE03_01;6;
886;XS659581;0;LP_T6;TE03_01;5;
887;GK826951;0;LP_T6;TE03_01;3;
888;CZ836922;1;LP_T6;TE03_01;5;
889;SM631877;0;LP_T6;TE03_01;5;
890;XZ767591;1;LP_T6;TE03_01;4;
891;VK722412;0;LP_T6;TE03_01;5;
892;NK144173;0;LP_T6;TE03_01;6;
893;FF171956;1;LP_T6;TE03_01;5;
895;WN633269;1;LP_T6;TE03_01;5;
896;AT973973;1;LP_T6;TE03_01;4;
897;EK319924;1;LP_T6;TE03_01;6;
898;XV917984;1;LP_T6;TE03_01;2;
899;TP544386;1;LP_T6;TE03_01;6;
900;VY624531;1;LP_T6;TE03_01;4;
901;TB885956;1;LP_T6;TE03_01;3;
902;AH561571;0;LP_T6;TE03_01;5;
903;AZ588774;0;LP_T6;TE03_01;5;
904;LC333483;0;LP_T6;TE03_01;5;
905;LQ366462;1;LP_T6;TE03_01;6;
906;MD787544;1;LP_T6;TE03_01;6;
907;DU868473;1;LP_T6;TE03_01;2;
908;HA634253;1;LP_T6;TE03_01;2;
909;XY662821;0;LP_T6;TE03_01;3;
910;WR312764;1;LP_T6;TE03_01;2;
911;YF233344;0;LP_T6;TE03_01;3;
912;LW441239;1;LP_T6;TE03_01;6;
913;GA326557;1;LP_T6;TE03_01;5;
914;VC376826;0;LP_T6;TE03_01;5;
915;AW495873;0;LP_T6;TE03_01;4;
917;XA855886;1;LP_T6;TE03_01;6;
688;KZ623294;0;LP_T5;TE03_01;5;
689;KV214531;1;LP_T5;TE03_01;6;
690;LP893358;0;LP_T5;TE03_01;6;
691;FY246884;0;LP_T5;TE03_01;6;
692;NV617537;0;LP_T5;TE03_01;1;
693;XV615413;1;LP_T5;TE03_01;6;
694;AA223798;1;LP_T5;TE03_01;5;
695;PW785611;0;LP_T5;TE03_01;3;
696;YA272536;1;LP_T5;TE03_01;3;
697;AP844344;1;LP_T5;TE03_01;6;
698;EE558756;1;LP_T5;TE03_01;2;
699;LF961829;0;LP_T5;TE03_01;5;
700;FX545495;1;LP_T5;TE03_01;5;
701;AK891341;0;LP_T5;TE03_01;2;
702;SW218242;1;LP_T5;TE03_01;6;
703;ET745775;0;LP_T5;TE03_01;4;
704;BS791494;0;LP_T5;TE03_01;6;
705;UX896743;0;LP_T5;TE03_01;4;
706;MB259846;0;LP_T5;TE03_01;5;
707;ME862665;0;LP_T5;TE03_01;4;
708;AZ588774;0;LP_T5;TE03_01;3;
709;LW441239;1;LP_T5;TE03_01;5;
710;BV722553;0;LP_T5;TE03_01;1;
711;NK144173;0;LP_T5;TE03_01;4;
712;NK367231;1;LP_T5;TE03_01;4;
713;PK497634;1;LP_T5;TE03_01;6;
714;UY881832;0;LP_T5;TE03_01;5;
715;CZ836922;1;LP_T5;TE03_01;5;
716;TC633551;1;LP_T5;TE03_01;5;
717;EP831244;0;LP_T5;TE03_01;5;
718;GK718459;0;LP_T5;TE03_01;6;
719;AT424766;0;LP_T5;TE03_01;2;
720;PQ466859;0;LP_T5;TE03_01;6;
721;FK136917;1;LP_T5;TE03_01;6;
722;CU525786;1;LP_T5;TE03_01;6;
723;ZV438183;1;LP_T5;TE03_01;6;
724;LH578194;1;LP_T5;TE03_01;4;
725;XV917984;1;LP_T5;TE03_01;6;
726;AN652227;0;LP_T5;TE03_01;6;
727;BA355797;1;LP_T5;TE03_01;4;
728;UR157297;0;LP_T5;TE03_01;2;
729;FL569837;0;LP_T5;TE03_01;3;
730;VN755488;1;LP_T5;TE03_01;4;
731;XB482288;0;LP_T5;TE03_01;6;
732;QR394599;1;LP_T5;TE03_01;6;
733;PH647245;0;LP_T5;TE03_01;5;
735;YM644361;0;LP_T5;TE03_01;4;
736;RH615392;0;LP_T5;TE03_01;4;
737;PY946565;1;LP_T5;TE03_01;3;
738;XP544262;1;LP_T5;TE03_01;4;
739;AH561571;0;LP_T5;TE03_01;5;
740;TN749971;1;LP_T5;TE03_01;3;
741;EL742586;1;LP_T5;TE03_01;3;
742;YE632525;1;LP_T5;TE03_01;4;
